Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
North Pacific Gyre,fuzzy,S,36.63448,-105.21667,9,29.391616590439867
Metropolitan District Quito,Metropolitan,P,40.51486,-124.14477,8,30.07793727125889
Finland,exact,A,64.0,26.0,24,60.617174271888096
Zakynthos island,exact,T,37.78845,20.76749,22,39.792225604271636
Lakes Geneva,exact,S,42.85648,-77.00771,3,56.486657773589684
St. Andrew Bay,exact,H,30.15215,-85.69104,3,42.80516466256256
Arauco,exact,P,-28.58071,-66.7925,7,29.948460393989105
Boznia & Herzegovina,exact,A,44.25,17.83333,22,38.40105663255409
Eastern Gulf Thailand,Eastern,A,19.31667,-81.13333,2,43.52406827164897
northeast pacific,exact,U,20.0,-140.0,8,76.2353432132595
Masohi,exact,P,-3.29833,128.96882,11,56.66470599933207
Upper Paraná River,fuzzy,H,30.21909,-91.31844,3,35.76495584198825
Kuroshio Tide,Kuroshio,P,33.35,129.7,9,24.95397191692318
Thondi coast,Thandi,L,33.80504,70.76317,15,41.759454602200954
Malabar coast,exact,L,11.24306,75.88257,15,50.55246988005079
Hubei,exact,A,31.0,112.25,9,60.4637701618101
East Asia,exact,P,11.0059,109.16,9,66.28299503619965
Quzhou County,fuzzy,A,25.94242,111.02815,9,68.2234615915697
Southeastern Pacific Ocean,fuzzy,U,-15.0,-85.0,12,77.25460981329987
Liushagang Formation,Liushugang,P,28.73234,118.98017,9,53.518972130446784
Espiritu Santo Island,exact,T,13.23333,-88.61667,9,32.22682625383852
South Island,exact,T,-43.0,171.0,13,68.78173352483822
Sanctuary,exact,L,9.5141,80.5322,17,3.8637063956427773
Mexico,exact,P,19.42847,-99.12766,1,39.83821860986273
Shaying River,fuzzy,H,44.74332,-101.06804,3,43.597860571348164
Qara-sou river,Karasu Çayı,H,36.25229,36.2056,22,38.122970566445325
Qinghai Lake Basin,Qinghai,A,36.0,96.0,15,71.42360692649306
KwaZulu–Natal,fuzzy,A,-29.0,30.0,19,73.78432240784859
CAO,exact,P,10.46017,105.63294,9,15.195409364500996
Abu-Qir Bay,exact,H,31.37148,30.23129,22,29.225904283202475
Madeira,exact,A,32.76737,-16.94699,2,51.34058683456102
deep sea,exact,L,2.57582,9.8276,4,37.35553544658675
Langsa City,Langsa,P,4.4683,97.9683,17,52.03271955793261
Shikoku,exact,T,33.75,133.5,9,27.798731661139367
Wadi el Gemal,exact,H,31.41667,13.63333,22,15.677739477990677
Yeoju City,exact,A,37.29562,127.63668,9,25.734259080278193
Wuhan,exact,P,30.58333,114.26667,9,24.190425506442054
Golden Horn Estuary,Golden,P,39.75554,-105.2211,9,37.12041351227874
Wellawatta,exact,A,6.14772,80.1041,17,58.72691023990908
Baja California Sur,exact,A,25.83333,-111.83333,9,49.89823685571735
Louisiana,exact,A,31.00047,-92.0004,3,73.08078042875007
Qishan River,exact,H,22.83222,120.46667,9,37.099140950111796
Triangle Island,exact,T,50.86424,-129.08207,8,50.07396809747526
Katsura Rivers,fuzzy,H,34.90029,135.70501,9,48.294970938604976
Pyrenees,fuzzy,L,-37.11653,143.31356,19,45.71713651694807
Roquetas,exact,P,36.76419,-2.61475,22,31.109939270677994
Nong Luang Wetland,Nong,T,-23.59106,28.58885,19,13.585111827932579
KBW,exact,P,27.7502,57.951,15,52.423256446259295
Ulua,exact,P,14.73333,-86.6,9,28.08768524283606
Dianchi Lake,Dianchi,H,24.80056,102.67139,9,37.642548965745604
Taganrog Bay,exact,H,47.0,38.83333,23,61.025063298976
Warsaw,exact,P,52.22977,21.01178,3,44.7412371392984
Garonne river,exact,H,43.59516,1.43863,22,11.68022899356677
Green Lake,exact,A,54.31528,-107.7917,9,27.897376836212054
Mediterranean Basin,exact,L,35.78,19.33,22,34.718384990058425
Irish Sea Basin,Irish,L,49.65021,-83.98316,3,38.634872991375644
Marchica Lagoon,Marchich,P,33.44116,-7.55576,3,8.340086058329513
Coast,exact,L,37.02332,-77.36954,3,54.247216429097705
Pacific Ocean,exact,H,-45.0,-130.0,12,67.99327454135909
Sama River,exact,H,-5.76667,146.65,11,33.98202150045174
NCR,exact,L,28.66047,77.07733,15,44.96389697755243
Northwest Pacific Ocean,fuzzy,U,40.0,155.0,8,69.94042916169451
Saint John River,exact,A,6.0587,-10.03274,5,71.23981749623306
Wushi depression,Wushi,P,35.735,109.65778,9,29.769589891047584
Eastern Harbor,exact,T,42.05288,-70.12447,3,58.53540405181853
Mira river,exact,L,46.03184,-60.04094,3,62.89000267512868
Krui,exact,P,-5.19131,103.932,11,58.869627174079696
Southern Adriatic seas,Southern,A,22.24112,114.20769,9,41.61822993028381
Geoje,exact,A,34.9,128.66666,9,47.01506200130774
Talamone,exact,P,42.55346,11.13276,22,30.675475004657653
Vellar,exact,P,11.81838,78.69368,15,41.20903527264388
Tortuga Bay,exact,T,-0.76153,-90.33569,10,84.12135629313146
Rupat Island,fuzzy,T,-69.14167,39.43333,20,39.93038222899253
Waddington,exact,L,-43.39832,172.03012,13,39.580582819639375
West Bali National Park,fuzzy,L,-21.84426,149.46137,13,38.48753488921318
People’s Republic China,exact,A,35.0,105.0,9,71.78085647499285
Magallana,fuzzy,L,39.58333,-1.63333,22,14.716273371297826
Mae Klong River,exact,H,13.36429,99.9989,15,56.02805653387155
Lisboa,exact,P,38.71667,-9.13333,2,39.94407781080819
Aourir,exact,L,19.80472,2.16361,3,48.87687786489714
Sundays River,exact,A,-33.51165,25.49677,19,1.3295872820406645
Itchen Estuary,River Itchen,H,50.88902,-1.38719,3,43.98079036468363
Eastern India,Eastern,A,19.31667,-81.13333,2,43.52406827164897
St. Barthélemy,exact,A,17.9,-62.8257,2,56.29080908025861
Baltic Proper,Baltic,P,43.76136,-96.74033,3,34.910238374030456
Papua New Guinea,exact,A,-6.0,147.0,11,78.39324014078403
Lizzano,exact,P,40.39301,17.44571,22,12.752955740846371
Puebla City,exact,P,19.03793,-98.20346,1,60.07281069553524
Eifel Mountains,exact,T,50.25,6.66667,3,30.20710581906055
Southend,exact,P,51.53782,0.71433,3,54.52403243837318
White Barents Seas,White,L,49.9,-95.08378,3,53.61286378324313
Brunei River,exact,H,4.92214,115.01533,11,71.33148456885725
Northern Bavaria,fuzzy,P,40.65923,-78.78169,3,29.65513475738927
Amu Darya River,exact,H,43.66667,59.01667,3,43.11666654393207
Lakes Mead,exact,H,36.17246,-114.42987,9,36.95854789619511
Lake Manyas,exact,H,40.19361,27.96667,22,52.19925305669203
Ulaanbaatar,exact,P,47.90771,106.88324,9,53.64410682088091
Kizhskie Skerries,Skerries,P,53.58278,-6.10833,3,27.468382272651276
Calvi Bay,Calvi,P,42.56604,8.75713,22,22.31180607381856
Otter Rock,exact,T,-63.633,-59.2,20,20.95776162829403
St. Mary's River,exact,H,45.95835,-83.89723,3,59.56673685017878
Congot,exact,P,-7.9,110.03389,11,67.94340382593397
Scottish Orkney Islands,Orkney,L,49.38352,-83.53313,3,13.17161950638802
Central Caribbean Coast,Central,L,55.75383,37.6224,3,29.251884154669053
Vellore,exact,A,12.80697,79.08045,15,56.89507775499463
Fonte da Telha,exact,T,38.57343,-9.19703,2,27.587594174038852
Nan River's,Nan,P,18.78378,100.77899,15,43.12489543916457
Upper Lake Balma,fuzzy,H,44.15016,-64.99879,3,55.56545490879105
Matiao,exact,P,7.0828,125.9362,11,66.83366392512696
Cisadane,exact,P,-6.6572,106.2212,11,35.41187424742026
Canterbury,exact,A,18.47919,-77.91655,2,43.98825155718403
Haswell Islands,exact,T,-66.54459,92.97499,20,21.617886961682817
Bahia,exact,A,-12.0,-42.0,7,77.73657611017677
Têt,exact,P,40.4165,-3.70256,22,19.491276759459158
Romania,exact,A,46.0,25.0,22,67.59553568997147
Karaikal,exact,P,10.91667,79.83333,15,58.931862233244814
Malacca Straits,exact,H,4.0,100.0,17,78.51852969413663
Lake Mead National Recreation Area,exact,L,35.95445,-114.22062,9,56.47601270104359
Aksu,exact,P,40.08964,38.03467,23,60.32888989334265
Ambon Island,exact,T,-3.6175,128.1675,11,39.14574622335965
Dongdaihe,fuzzy,P,38.4791,109.64253,9,12.620862013229875
Los Muertos,exact,L,26.27928,-105.9737,9,53.185405888777666
Yangtze Estuary,Yangtze River,H,31.76986,121.04664,9,52.36974201149076
Ciliwung River,exact,H,-6.1211,106.829,11,55.65281687184821
AP,exact,P,9.95488,106.12789,11,64.9732390796085
Limpopo,exact,A,-24.0,29.5,19,55.59746332227909
North Viet Nam,fuzzy,A,21.03333,105.85,9,63.30929290931218
Bushehr,exact,P,28.96887,50.83657,25,61.60401712172707
Baihe Tang,fuzzy,P,24.14733,102.0256,9,62.035291219265446
Kenitra City,Kenitra,P,34.26101,-6.5802,3,27.57483000479881
Matang,exact,T,-0.66483,174.44984,10,93.03394590523354
Sub-Saharan Africa,exact,L,1.5509,25.63297,17,15.826948390939268
South Branch,exact,P,40.54399,-74.69683,3,17.34132467382462
Timor Seas,fuzzy,H,-11.5,127.0,19,54.481320952355624
Giglio island,exact,P,42.35791,10.90724,22,36.970168586479794
Central North Pacific Ocean,Central,L,55.75383,37.6224,3,29.251884154669053
Lake Albano,exact,H,41.75,12.66667,22,31.059409467198485
Gazul,exact,T,43.30493,16.62879,22,24.05718194301539
Lake Onega,exact,H,61.69059,35.65562,3,22.7351115937568
Buenaventura,exact,P,3.8801,-77.03116,11,67.02902328423514
Sumatra,exact,T,0.0,102.0,11,175.81260775533102
Suwung,exact,P,-8.7029,115.2352,11,36.83203783770479
Kenya,exact,A,1.0,38.0,17,78.61720677100749
Gulf Lion,exact,H,43.0,4.0,22,68.78173352483849
Spic Nagar,Špic,T,44.07639,17.34028,22,48.78877210024732
RAS,exact,P,25.78953,55.9432,25,54.86554811330557
Yunxiao,exact,P,30.8919,105.26,9,49.25008357766989
Bulak,exact,P,53.256,103.819,9,34.4071343112829
Portmán Bay,exact,H,11.4,92.66667,14,21.29729455455094
U.S. Gulf Mexico Coast,United States,A,39.76,-98.5,3,28.910680927585595
Western Turkey,Western,A,19.30833,-81.375,2,25.02200550299133
Chagos Archipelago,exact,T,-6.05589,72.04834,16,70.21940146629069
