,Topic,Year,Gini Coefficient
242,11,2017,0.4585717312990041
243,11,2018,0.46247654784240155
244,11,2019,0.5065854870775348
245,11,2020,0.39030910609857977
246,11,2021,0.40607594936708863
247,11,2022,0.5528846153846154
248,11,2023,0.6742160278745645
249,11,2024,0.9
250,12,2008,0.0
251,12,2010,0.0
252,12,2012,0.31541802388707924
253,12,2013,0.2630597014925373
254,12,2014,0.1694772344013491
255,12,2015,0.20588235294117646
256,12,2016,0.3971902937420178
257,12,2017,0.25925925925925924
258,12,2018,0.5124994565453675
259,12,2019,0.43522847232694917
260,12,2020,0.40038584603801997
261,12,2021,0.3736067082523775
262,12,2022,0.3741708713645898
263,12,2023,0.6007751937984496
264,12,2024,0.6815476190476191
265,13,2014,0.3601694915254237
266,13,2015,0.21830065359477124
267,13,2016,0.0
268,13,2017,0.3825925925925926
269,13,2018,0.3475655430711611
270,13,2019,0.5329025549613785
271,13,2020,0.6867588932806326
272,13,2021,0.5803183791606368
273,13,2022,0.6296196385217157
274,13,2023,0.6889348025711662
275,13,2024,0.7390572390572391
276,14,2000,0.0
277,14,2004,0.11764705882352942
278,14,2005,0.0
279,14,2006,0.026315789473684216
280,14,2007,0.0
281,14,2010,0.25601374570446733
282,14,2014,0.0
283,14,2015,0.21428571428571427
284,14,2016,0.745493871665465
285,14,2017,0.55120363062352
286,14,2018,0.5783720147998657
287,14,2019,0.5199795081967213
288,14,2020,0.5551972481995056
289,14,2021,0.5091074681238615
290,14,2022,0.6357638888888889
291,14,2023,0.5174752217005738
292,14,2024,0.7361111111111112
293,15,2003,0.0
294,15,2006,0.0
295,15,2010,0.0
296,15,2011,0.10099750623441395
297,15,2012,0.0
298,15,2013,0.1500441306266549
299,15,2014,0.1875
300,15,2015,0.3742271396029938
301,15,2016,0.5339581635425156
302,15,2017,0.35928705440900566
303,15,2018,0.3415032679738562
304,15,2019,0.5667736757624398
305,15,2020,0.33207825765965315
306,15,2021,0.35508675078864355
307,15,2022,0.4527777777777778
308,15,2023,0.4925984251968504
309,15,2024,0.875
310,16,2010,0.0
311,16,2016,0.17051070840197693
312,16,2017,0.12666325486182192
313,16,2018,0.3252427184466019
314,16,2019,0.47702736630680387
315,16,2020,0.4061142397425583
316,16,2021,0.4202262142381903
317,16,2022,0.5926559000353648
318,16,2023,0.6074074074074074
319,16,2024,0.7189349112426036
320,17,2006,0.5
321,17,2014,0.0
322,17,2015,0.0
323,17,2017,0.0
324,17,2018,0.3705533596837945
325,17,2019,0.2328508495909377
326,17,2020,0.34431977559607285
327,17,2021,0.3606372205343928
328,17,2022,0.5204478164322723
329,17,2023,0.6460136674259681
330,17,2024,0.7980392156862746
331,18,2012,0.0
332,18,2015,0.0
333,18,2016,0.0
334,18,2017,0.5537270087124879
335,18,2018,0.48643410852713176
336,18,2019,0.6228725612287256
337,18,2020,0.46018455837816663
338,18,2021,0.41779448621553883
339,18,2022,0.6540586209137583
340,18,2023,0.5876142131979696
341,18,2024,0.6647727272727273
342,19,1990,0.0
343,19,1992,0.0
344,19,1995,0.0
345,19,1999,0.0
346,19,2001,0.0
347,19,2006,0.0
348,19,2010,0.4736842105263157
349,19,2011,0.024590163934426233
350,19,2012,0.12251655629139074
351,19,2013,0.0
352,19,2014,0.2443105756358768
353,19,2015,0.3729508196721312
354,19,2016,0.0
355,19,2017,0.34054054054054045
356,19,2018,0.35897435897435886
357,19,2019,0.4672330097087379
358,19,2020,0.5714285714285714
359,19,2021,0.5669144981412639
360,19,2022,0.572279792746114
361,19,2023,0.4987165383204987
362,19,2024,0.8076923076923077
363,20,2012,0.0
364,20,2015,0.45454545454545453
365,20,2016,0.4756097560975609
366,20,2017,0.0
367,20,2018,0.2833333333333333
368,20,2019,0.35661080074487894
369,20,2020,0.4658436213991768
370,20,2021,0.5281140704869518
371,20,2022,0.4986972381448671
372,20,2023,0.7992957746478874
373,20,2024,0.8125
374,21,2012,0.462962962962963
375,21,2014,0.3235294117647059
376,21,2016,0.2857142857142857
377,21,2017,0.0
378,21,2018,0.3447592067988669
379,21,2019,0.22727272727272727
380,21,2020,0.5225911812738162
381,21,2021,0.39069874525152526
382,21,2022,0.5014738393515107
383,21,2023,0.648989898989899
384,21,2024,0.7692307692307693
385,22,2020,0.31977671451355666
386,22,2021,0.49050680381442197
387,22,2022,0.39061411366577087
388,22,2023,0.5035888601780074
389,22,2024,0.5425101214574899
390,23,2002,0.0
391,23,2005,0.0
392,23,2007,0.07853244390539721
393,23,2009,0.29271070615034167
394,23,2010,0.0
395,23,2011,0.0
396,23,2012,0.3911719939117199
397,23,2013,0.41999168744804655
398,23,2014,0.6454382826475851
399,23,2015,0.40664556962025317
400,23,2016,0.23163841807909605
401,23,2017,0.6122448979591836
402,23,2018,0.45199999999999996
403,23,2019,0.5234034833091437
404,23,2020,0.42129629629629634
405,23,2021,0.5821917808219178
406,23,2022,0.48978365384615385
407,23,2023,0.5058419243986254
408,23,2024,0.64
409,24,2015,0.0
410,24,2016,0.0
